state,account length,area code,international plan,voice mail plan,number vmail messages,total day calls,total day charge,total eve calls,total eve charge,total night calls,total night charge,total intl calls,total intl charge,number customer service calls,move
11,0.4132231404958678,1.0,0,0,0.0,0.7454545454545455,0.20163989290495316,0.4294117647058823,0.5826593335490133,0.41714285714285715,0.5976364659538548,0.15,0.5296296296296296,0.3333333333333333,0
26,0.5619834710743802,1.0,0,0,0.0,0.5212121212121212,0.6360441767068273,0.8176470588235294,0.6732449045616304,0.46285714285714286,0.23860438942037143,0.35,0.47592592592592586,0.0,0
35,0.4214876033057851,0.0,0,1,0.5576923076923077,0.5757575757575758,0.8383534136546186,0.6176470588235294,0.6525396311873181,0.7257142857142858,0.7602701181767023,0.3,0.6851851851851851,0.1111111111111111,0
32,0.4049586776859504,0.06862745098039216,0,0,0.0,0.7454545454545455,0.6168005354752343,0.5176470588235295,0.347460368812682,0.4685714285714286,0.5588069780528981,0.1,0.7851851851851852,0.1111111111111111,0
40,0.44214876033057854,0.06862745098039216,0,0,0.0,0.4727272727272727,0.5615796519410978,0.5941176470588235,0.3409899708832093,0.6114285714285714,0.5177265053460889,0.2,0.3851851851851852,0.2222222222222222,0
12,0.4793388429752066,0.06862745098039216,0,0,0.0,0.5151515151515151,0.6444109772423026,0.4,0.38951795535425426,0.5142857142857142,0.5649971862689926,0.25,0.34444444444444444,0.1111111111111111,0
28,0.256198347107438,0.06862745098039216,0,1,0.6153846153846154,0.7515151515151515,0.622657295850067,0.7352941176470589,0.5894532513749595,0.6857142857142857,0.6589758019133372,0.15,0.6444444444444444,0.1111111111111111,0
18,0.384297520661157,0.0,0,0,0.0,0.5878787878787879,0.44812583668005357,0.6588235294117647,0.6172759624716919,0.6057142857142858,0.7872819358469331,0.3,0.5555555555555555,0.0,0
24,0.5661157024793388,1.0,0,0,0.0,0.7090909090909091,0.2535140562248996,0.27058823529411763,0.3487544483985765,0.4057142857142857,0.4822734946539111,0.2,0.4944444444444444,0.2222222222222222,0
43,0.5247933884297521,0.06862745098039216,0,1,0.8269230769230769,0.6060606060606061,0.5058567603748327,0.5235294117647059,0.40504691038498863,0.5257142857142857,0.4918401800787845,0.05,0.5944444444444444,0.0,0
2,0.4628099173553719,1.0,0,1,0.75,0.4666666666666667,0.5968875502008033,0.5294117647058824,0.4513102555807182,0.5714285714285714,0.4046145188519978,0.2,0.45,0.1111111111111111,0
43,0.5743801652892562,0.06862745098039216,0,0,0.0,0.6606060606060606,0.26506024096385544,0.6823529411764706,0.5435134260757036,0.5371428571428571,0.5565559932470456,0.1,0.5259259259259259,0.1111111111111111,0
21,0.41735537190082644,0.06862745098039216,0,0,0.0,0.5212121212121212,0.6489290495314592,0.5705882352941176,0.4289873827240375,0.7085714285714285,0.5773776027011818,0.45,0.5296296296296296,0.1111111111111111,0
28,0.44214876033057854,0.06862745098039216,0,0,0.0,0.5212121212121212,0.320281124497992,0.5941176470588235,0.31607893885473953,0.68,0.4501969611705121,0.3,0.3592592592592592,0.3333333333333333,0
8,0.24380165289256198,0.0,0,0,0.0,0.4666666666666667,0.5896921017402945,0.6176470588235294,0.5716596570689098,0.5085714285714286,0.27405740011254925,0.25,0.6444444444444444,0.1111111111111111,0
23,0.3925619834710744,0.0,0,0,0.0,0.5636363636363636,0.5920348058902276,0.6294117647058823,0.520219993529602,0.5142857142857142,0.7079347214406303,0.1,0.37037037037037035,0.1111111111111111,0
16,0.731404958677686,0.06862745098039216,0,1,0.4230769230769231,0.4,0.32095046854083,0.5882352941176471,0.6395988353283727,0.68,0.4935284186831739,0.15,0.7148148148148148,0.1111111111111111,0
23,0.30578512396694213,0.06862745098039216,0,0,0.0,0.7515151515151515,0.6408969210174029,0.4764705882352941,0.6269815593659009,0.6057142857142858,0.6437816544738323,0.15,0.5851851851851851,0.1111111111111111,0
27,0.43388429752066116,0.06862745098039216,0,1,0.4807692307692308,0.6363636363636364,0.48192771084337355,0.6352941176470588,0.6612746683921061,0.6514285714285715,0.4034890264490715,0.25,0.6944444444444444,0.4444444444444444,0
11,0.6487603305785123,1.0,0,0,0.0,0.7333333333333333,0.5498661311914324,0.5705882352941176,0.5723066968618571,0.5657142857142857,0.5773776027011818,0.45,0.3555555555555555,0.1111111111111111,0
33,0.45454545454545453,0.06862745098039216,0,1,0.6730769230769231,0.8606060606060606,0.4585006693440428,0.611764705882353,0.437398900032352,0.56,0.4254361283061339,0.25,0.7351851851851852,0.1111111111111111,0
5,0.41735537190082644,1.0,0,0,0.0,0.5333333333333333,0.2719210174029451,0.6235294117647059,0.4610158524749272,0.5428571428571428,0.44907146876758586,0.1,0.4907407407407407,0.3333333333333333,0
42,0.3760330578512397,1.0,0,1,0.4807692307692308,0.6,0.22707496653279788,0.7058823529411765,0.862504043998706,0.5942857142857143,0.34327518289251546,0.4,0.46481481481481474,0.2222222222222222,0
